GitHub_Image_URL,"Flickr 
Image URL",Dir,Comments,Annotated,Slide,Nem,NID,Image,Moved_Image_Name,Y,X,Mag,Family,Genus,Species,Detail,overall body length,distance of vulva from anterior ,% distance of vulva from anterior,stylet or spear length (stomatostyle or odontostyle),% distance from anterior to median bulb relative to length of esophagus,% distance of anterior phasmid from anterior of nematode in relation to body length,% distance of dorsal esophageal gland opening from stylet knobs in relation to stylet length,% distance of phasmid from anus in relation to length of tail,% distance of posterior phasmid from anterior of nematode in relation to body length,% length of anterior female gonad in relation to body length,% length of male gonad relative to body length,% length of posterior female gonad in relation to body length,(distance of dorsal esophageal gland opening from stylet knobs x 100)/(length of stylet),(distance of phasmid(when not erratic) from anus x 100)/( length of tail),body length / distance from anterior to base of esophageal glands,body length / distance from anterior to esophago-intestinal valve,body length / greatest body diameter,body length / tail length,capitulum length in Âµm,conus of stomatostyle/total stomatosyle length,distance from anterior end to excretory pore in µm,distance from base of stylet to median bulb valve/stylet length.,distance from vulva to anus,gubernaculurn length in µm,number of body annules between anterior and excretory pore,number of body annules between anus and tail tip,number of body annules between vulva and anus,number of body annules between vulva and tail tip,number of specimens on which measurements are based,portion of body from anus or cloaca to posterior terminus,SE/L (measured in same units) expressed as %).,spicule length in Âµm,stylet extension (odontophore) length in Âµm,stylet length / body diameter at base of stylet,stylet length/body length (measured in same units as %).,tail length / tail diameter at anus or cloaca,total number of body annules,tt
https://github.com/lperepol/NematodesOfAnOldGrowthForest/blob/main/Slide/ogf-0004/Nem_0001/010x/2320.jpg,https://flic.kr/s/aHBqjzP7YQ,./../../Slide/ogf-0004/Metadata.ods,,,ogf-0004,Nem_0001,ogf-0004_Nem_0001,ogf-0004/Nem_0001\010x\2320.jpg,ogf_00316.jpg,6.1,144,010x,Alaimidae,Alaimus,,body ,1536.91,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/lperepol/NematodesOfAnOldGrowthForest/blob/main/Slide/ogf-0004/Nem_0001/020x/1194.jpg,https://flic.kr/s/aHBqjzP7YQ,./../../Slide/ogf-0004/Metadata.ods,,,ogf-0004,Nem_0001,ogf-0004_Nem_0001,ogf-0004/Nem_0001\020x\1194.jpg,ogf_00317.jpg,6.1,144,020x,Alaimidae,Alaimus,,body ,1536.91,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/lperepol/NematodesOfAnOldGrowthForest/blob/main/Slide/ogf-0004/Nem_0001/020x/ogf_0004_Nem_001_Gimp_Stitched_20x.jpg,https://flic.kr/s/aHBqjzP7YQ,./../../Slide/ogf-0004/Metadata.ods,,,ogf-0004,Nem_0001,ogf-0004_Nem_0001,ogf-0004/Nem_0001\020x\ogf_0004_Nem_001_Gimp_Stitched_20x.jpg,ogf_00318.jpg,6.1,144,020x,Alaimidae,Alaimus,,body ,1536.91,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/lperepol/NematodesOfAnOldGrowthForest/blob/main/Slide/ogf-0004/Nem_0001/040x/1208.jpg,https://flic.kr/s/aHBqjzP7YQ,./../../Slide/ogf-0004/Metadata.ods,,,ogf-0004,Nem_0001,ogf-0004_Nem_0001,ogf-0004/Nem_0001\040x\1208.jpg,ogf_00319.jpg,6.1,144,040x,Alaimidae,Alaimus,,anterior,1536.91,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/lperepol/NematodesOfAnOldGrowthForest/blob/main/Slide/ogf-0004/Nem_0001/040x/1209.jpg,https://flic.kr/s/aHBqjzP7YQ,./../../Slide/ogf-0004/Metadata.ods,,,ogf-0004,Nem_0001,ogf-0004_Nem_0001,ogf-0004/Nem_0001\040x\1209.jpg,ogf_00320.jpg,6.1,144,040x,Alaimidae,Alaimus,,mid section,1536.91,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/lperepol/NematodesOfAnOldGrowthForest/blob/main/Slide/ogf-0004/Nem_0001/040x/1210.jpg,https://flic.kr/s/aHBqjzP7YQ,./../../Slide/ogf-0004/Metadata.ods,,,ogf-0004,Nem_0001,ogf-0004_Nem_0001,ogf-0004/Nem_0001\040x\1210.jpg,ogf_00321.jpg,6.1,144,040x,Alaimidae,Alaimus,,tail,1536.91,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/lperepol/NematodesOfAnOldGrowthForest/blob/main/Slide/ogf-0004/Nem_0001/100x/1226.jpg,https://flic.kr/s/aHBqjzP7YQ,./../../Slide/ogf-0004/Metadata.ods,,,ogf-0004,Nem_0001,ogf-0004_Nem_0001,ogf-0004/Nem_0001\100x\1226.jpg,ogf_00322.jpg,6.1,144,100x,Alaimidae,Alaimus,,anterior,1536.91,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/lperepol/NematodesOfAnOldGrowthForest/blob/main/Slide/ogf-0004/Nem_0001/100x/1227.jpg,https://flic.kr/s/aHBqjzP7YQ,./../../Slide/ogf-0004/Metadata.ods,,,ogf-0004,Nem_0001,ogf-0004_Nem_0001,ogf-0004/Nem_0001\100x\1227.jpg,ogf_00323.jpg,6.1,144,100x,Alaimidae,Alaimus,,anal opening,1536.91,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/lperepol/NematodesOfAnOldGrowthForest/blob/main/Slide/ogf-0004/Nem_0001/100x/2321.jpg,https://flic.kr/s/aHBqjzP7YQ,./../../Slide/ogf-0004/Metadata.ods,,,ogf-0004,Nem_0001,ogf-0004_Nem_0001,ogf-0004/Nem_0001\100x\2321.jpg,ogf_00324.jpg,6.1,144,100x,Alaimidae,Alaimus,,anterior,1536.91,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/lperepol/NematodesOfAnOldGrowthForest/blob/main/Slide/ogf-0004/Nem_0001/100x/2323.jpg,https://flic.kr/s/aHBqjzP7YQ,./../../Slide/ogf-0004/Metadata.ods,,,ogf-0004,Nem_0001,ogf-0004_Nem_0001,ogf-0004/Nem_0001\100x\2323.jpg,ogf_00325.jpg,6.1,144,100x,Alaimidae,Alaimus,,esophagus,1536.91,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
