ImageName,ImageText,Gender,General,Descr,Detail,Magnification,Location,Host,Species,ScientificName_accepted,ScientificName,Class,Order,Family,Genus
achroma1.jpg,"Achromadora sp.
Jumbo Valley Fen
Cherry Co., NE
cc MMA. Szalanski",female,,,amphid,1000X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
achroma10.jpg,"Achromadora sp.
Jumbo Valley Fen
Cherry Co., NE
cc MMA. Szalanski",female,,,head,400X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
achroma2.jpg,"Achromadora sp._x000D_
cuticle_x000D_
A, Saalanski",female,,,cuticle,400X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
achroma3.jpg,"Achromadora sp._x000D_
Jumbo Valley Fen_x000D_
Cherry Co., NE_x000D_
cc MMA. Szalanski",female,,,head,1000X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
achroma4.jpg,"vulva_x000D_
Jumbo Valley fen_x000D_
Cherry Co. NE._x000D_
J: Saalanski ]",female,,,vulva,1000X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
achroma5.jpg,"Achromadora mips_x000D_
amphid_x000D_
o_x000D_
Jumbo Valley fen_x000D_
Cherry Co. NE._x000D_
ca AY Szralanski",female,,,amphid,1000X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora mips,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
achroma6.jpg,"Achromadora ee_x000D_
corpus_x000D_
Jumbo Valley fem_x000D_
Gemca NE_x000D_
. Szalanski_x000D_
2000",female,,,corpus,400X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora ee,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
achroma7.jpg,"_ Achromadora sp. __x000D_
_ Jumbo Valley Fen_x000D_
Ã¢â‚¬ËœCherry Co., NE_x000D_
cc MMA. Szala",female,,,esophagus,1000X,"Cherry County, Nebraska",Jumbo Valley Fen,_ Achromadora,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
achroma8.jpg,"Achromadora sp._x000D_
Jumbo Valley Fen_x000D_
Cherry Co., NE_x000D_
cc MMA. Szalanski",female,,,head,1000X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
achroma9.jpg,"Ã¢â‚¬â€ madora eps_x000D_
heaÃ¢â‚¬â„¢_x000D_
i Valley fen_x000D_
Cherry Co. NE._x000D_
A. Saalanski_x000D_
2000",female,,,head,400X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
achrsp1.jpg,"Achromadora sp._x000D_
female cuticle 1000X_x000D_
9 Mile Prairie Leadplant_x000D_
Peter Mullin cc 19.99_x000D_
ioOum",female,,,cuticle,1000X,"Nine Mile Prairie, Lancaster County, Nebraska",Leadplant,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
achrsp2.jpg,"Achromadora sp._x000D_
female 100X_x000D_
9 Mile Prairie_x000D_
ere_x000D_
100 jim",female,,,body,100X,"Nine Mile Prairie, Lancaster County, Nebraska",Leadplant,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
achrsp3.jpg,"Achromadora le_x000D_
female vulva 400)_x000D_
9 Mile Prairie Leadplant_x000D_
20um_x000D_
Peter Mullin ce 1999",female,,,vulva,400X,"Nine Mile Prairie, Lancaster County, Nebraska",Leadplant,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
achrsp4.jpg,"Ã‚Â°_x000D_
Achromadora_x000D_
female head 400)_x000D_
9 Mile Prairie Leadplant_x000D_
Peter Mullin ce 1999",female,,,head,400X,"Nine Mile Prairie, Lancaster County, Nebraska",Leadplant,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
